# Constructed from biom file
#OTU ID	V3V4_1	V3V4_10	V3V4_11	V3V4_12	V3V4_13	V3V4_14	V3V4_15	V3V4_16	V3V4_17	V3V4_18	V3V4_19	V3V4_2	V3V4_20	V3V4_21	V3V4_22	V3V4_23	V3V4_24	V3V4_25	V3V4_26	V3V4_27	V3V4_28	V3V4_29	V3V4_3	V3V4_30	V3V4_31	V3V4_32	V3V4_33	V3V4_34	V3V4_35	V3V4_36	V3V4_37	V3V4_38	V3V4_39	V3V4_4	V3V4_40	V3V4_41	V3V4_42	V3V4_43	V3V4_44	V3V4_45	V3V4_46	V3V4_47	V3V4_48	V3V4_49	V3V4_5	V3V4_50	V3V4_51	V3V4_52	V3V4_53	V3V4_54	V3V4_55	V3V4_56	V3V4_57	V3V4_58	V3V4_59	V3V4_6	V3V4_60	V3V4_61	V3V4_62	V3V4_63	V3V4_64	V3V4_65	V3V4_66	V3V4_67	V3V4_68	V3V4_69	V3V4_7	V3V4_70	V3V4_71	V3V4_72	V3V4_73	V3V4_74	V3V4_75	V3V4_76	V3V4_77	V3V4_78	V3V4_79	V3V4_8	V3V4_80	V3V4_81	V3V4_82	V3V4_83	V3V4_84	V3V4_85	V3V4_86	V3V4_87	V3V4_88	V3V4_89	V3V4_9	V3V4_90	V3V4_91	V3V4_92	V3V4_93	V3V4_94	V3V4_95	V3V4_96	taxonomy
HE866524.1.1200	0.0	0.0	83.0	0.0	0.0	66.0	0.0	0.0	0.0	30.0	0.0	0.0	146.0	0.0	0.0	0.0	483.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	116.0	0.0	40.0	0.0	0.0	0.0	329.0	56.0	0.0	0.0	0.0	0.0	136.0	465.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	48.0	0.0	194.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	49.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	142.0	0.0	0.0	0.0	0.0	425.0	59.0	404.0	0.0	580.0	442.0	562.0	0.0	0.0	250.0	228.0	357.0	747.0	0.0	0.0	29.0	825.0	48.0	82.0	121.0	71.0	490.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Klebsiella; D_6__Klebsiella pneumoniae
EU767529.1.1356	0.0	0.0	0.0	895.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	46.0	91.0	0.0	92.0	1074.0	0.0	297.0	0.0	31.0	0.0	0.0	1393.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	184.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	60.0	317.0	640.0	0.0	0.0	0.0	0.0	0.0	799.0	0.0	84.0	0.0	0.0	0.0	0.0	46.0	51.0	0.0	0.0	559.0	0.0	0.0	37.0	51.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
AF499899.1.1248	0.0	0.0	0.0	105.0	33.0	96.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	65.0	26.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	206.0	15.0	0.0	59.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	41.0	18.0	0.0	35.0	28.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	119.0	0.0	42.0	215.0	0.0	0.0	212.0	50.0	0.0	482.0	84.0	30.0	772.0	0.0	95.0	0.0	0.0	175.0	66.0	0.0	277.0	256.0	0.0	0.0	0.0	364.0	0.0	744.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Tannerellaceae; D_5__Parabacteroides; D_6__uncultured bacterium
FJ366406.1.1235	0.0	0.0	0.0	0.0	616.0	0.0	203.0	0.0	693.0	0.0	0.0	0.0	134.0	11.0	0.0	0.0	0.0	58.0	0.0	0.0	368.0	0.0	0.0	0.0	0.0	0.0	723.0	0.0	140.0	0.0	465.0	0.0	0.0	0.0	101.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	254.0	0.0	32.0	49.0	0.0	0.0	0.0	32.0	155.0	0.0	0.0	240.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
GQ492286.1.1241	0.0	0.0	0.0	146.0	0.0	42.0	0.0	0.0	107.0	730.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	187.0	0.0	0.0	0.0	0.0	0.0	170.0	27.0	42.0	0.0	0.0	88.0	650.0	10.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	1265.0	0.0	0.0	762.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	425.0	553.0	0.0	0.0	0.0	113.0	0.0	9.0	157.0	0.0	57.0	0.0	0.0	291.0	0.0	0.0	0.0	25.0	343.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	81.0	0.0	0.0	314.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Rikenellaceae; D_5__Alistipes; D_6__uncultured bacterium
KY657588.1.1495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1376.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	769.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1594.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Providencia; D_6__uncultured Providencia sp.
JN797483.1.1220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	39.0	0.0	12.0	0.0	0.0	1021.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	1495.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	581.0	69.0	0.0	246.0	0.0	0.0	217.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Citrobacter; D_6__Citrobacter freundii
AY850490.1.1239	0.0	0.0	0.0	0.0	58.0	30.0	44.0	0.0	112.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	132.0	35.0	0.0	7.0	0.0	0.0	0.0	106.0	98.0	65.0	0.0	89.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	142.0	0.0	62.0	210.0	0.0	38.0	0.0	45.0	207.0	0.0	0.0	180.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	449.0	228.0	201.0	0.0	67.0	30.0	0.0	32.0	68.0	46.0	0.0	41.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	23.0	90.0	0.0	0.0	0.0	81.0	238.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
JN797481.1.1203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	77.0	0.0	0.0	0.0	0.0	42.0	234.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	815.0	0.0	0.0	0.0	0.0	0.0	1102.0	0.0	0.0	0.0	128.0	0.0	0.0	56.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Enterobacter; D_6__Enterobacter sp. AP5
KT780152.1.1222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1081.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	1056.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	2077.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Providencia; D_6__Providencia sp. R9
KP337928.1.1234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	20.0	0.0	0.0	1189.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	60.0	0.0	0.0	337.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	679.0	118.0	0.0	0.0	0.0	0.0	204.0	0.0	0.0	52.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Citrobacter; D_6__Citrobacter werkmanii
CVOZ01000362.1.1219	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	191.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	66.0	0.0	38.0	65.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	38.0	0.0	0.0	234.0	0.0	0.0	37.0	0.0	0.0	150.0	42.0	30.0	0.0	20.0	0.0	0.0	34.0	0.0	0.0	27.0	0.0	0.0	0.0	227.0	147.0	0.0	0.0	0.0	427.0	58.0	0.0	0.0	70.0	0.0	0.0	57.0	0.0	264.0	0.0	40.0	0.0	62.0	0.0	32.0	167.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	17.0	30.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__Bacteroides thetaiotaomicron
AY993744.1.1245	80.0	0.0	98.0	0.0	0.0	82.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	265.0	0.0	34.0	79.0	0.0	16.0	167.0	0.0	109.0	24.0	0.0	0.0	0.0	0.0	15.0	0.0	403.0	0.0	18.0	0.0	207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	197.0	34.0	0.0	0.0	0.0	174.0	0.0	0.0	41.0	0.0	71.0	0.0	84.0	0.0	52.0	0.0	0.0	38.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Lachnospiraceae; D_5__Lachnoclostridium; D_6__uncultured bacterium
GQ492382.1.1289	0.0	0.0	0.0	0.0	293.0	37.0	0.0	108.0	68.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	318.0	144.0	0.0	35.0	102.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	199.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	251.0	125.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Bacteroidaceae; D_5__Bacteroides; D_6__uncultured bacterium
FJ365559.1.1250	0.0	0.0	0.0	233.0	121.0	0.0	0.0	0.0	576.0	76.0	6.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	310.0	115.0	0.0	8.0	0.0	0.0	353.0	146.0	0.0	0.0	0.0	503.0	71.0	0.0	0.0	70.0	6.0	9.0	25.0	114.0	0.0	5.0	0.0	177.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	201.0	0.0	0.0	0.0	0.0	0.0	352.0	4.0	0.0	0.0	0.0	42.0	167.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Bacteroidales; D_4__Rikenellaceae; D_5__Alistipes; D_6__uncultured bacterium
KF722058.1.1204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	404.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.0	0.0	0.0	0.0	1167.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Enterobacteriales; D_4__Enterobacteriaceae; D_5__Enterobacter; D_6__uncultured Enterobacter sp.
